name,ftype,tier,lat,lon
Dyako Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.76592,9.67129
Dyom Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.56615,9.82365
Etenyi Hospital,Hospital,Tier3 provincial hospital,6.822107,8.004833
Gbagbongon Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.92152,9.16752
Gbagir Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.62782,9.52829
Gbajiaba General Hospital,General Hospital,Tier3 provincial hospital,7.80335,8.88006
Gbatse Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.80206,9.10715
Gbayier Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.31211,9.46267
Gbise Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.24846,9.76506
Gboko General Hospital,General Hospital,Tier3 provincial hospital,7.30331107,8.98702738
Gbor Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.425876,9.47201
Guleya Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.17237,8.54484
Gyono Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.805584,9.556718
Hegha Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.99566,9.17506
Hiitom Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.92973,9.30242
Huma Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.2142,8.5664
Hwambe Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.49043,9.70508
Idekpa Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.336939,7.942191
Igbuugh Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.94273,8.85551
Ihonam Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.82256,9.27135
Ihungwa Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.45103,9.60467
Ijadoga Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.050465,7.622463
Ikpeakor Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.852728,8.922749
Imande Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.51198,9.56309
Imoughun Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.835561,9.139515
Injiov Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.70104,9.39199
Injorov Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.701306,9.392168
Iyo Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.6,9.58333
Jija Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.2896,8.537965
Jirgba Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.1,8.65
Jov-Kyundam Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.2999,8.5973
Jov-Mbavaa Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.91181,8.78767
Kacha Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.875866,9.363024
Kartyo Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.189118,8.941417
Katsina Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.163567,9.297507
Katsina General Hospital,General Hospital,Tier3 provincial hospital,7.16872,9.29894
Kiishi Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.94972,9.02034
Kohol Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.275980115,9.418432117
Koti Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.77218,9.21968
Kur-Ime Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.82645,9.43667
Leke Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.84754,9.64372
Manta Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.020545,8.557328
Manyam Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.96309,9.42641
Mbaagir Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.86349,9.09718
Mbabagu Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.87904,9.10577
Mbagba Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.90296,8.61949
Mbagbegba Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.773404,9.219748
Mbagir Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.503465,9.554531
Mbaikpande Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.13333,8.61666
Mbaikyo Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.80397,9.43655
Mbakumbaka Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.62571,9.42242
Mbakunu Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.71821,9.21309
Mbatyough Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.913136,8.917788
Mbazungwe Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.32348,8.71627
Melabu Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,7.72214,9.75163
