Facility name,Facility type,Ownership,Admin1,Lat,Long
Tigania St. John of God Hospital,Mission Hospital,FBO,Meru,0.19886,37.79136
Timau Sub-District Hospital,Sub-District Hospital,MoH,Meru,0.0922213,37.2461036
Awendo Sub-District Hospital,Sub-District Hospital,MoH,Migori,-0.9058,34.5322
Isibania Sub-District Hospital,Sub-District Hospital,MoH,Migori,-1.2334,34.4806
Karungu Sub-District Hospital,Sub-District Hospital,MoH,Migori,-0.7954,34.1796
Kegonga District Hospital,District Hospital,MoH,Migori,-1.2559,34.6521
Kuria District Hospital,District Hospital,MoH,Migori,-1.1801,34.6283
Macalder Sub-District Hospital,Sub-District Hospital,MoH,Migori,-0.9663,34.2883
Migori District Hospital,District Hospital,MoH,Migori,-1.0604,34.4763
Mother Solbritt Hospital,Mission Hospital,FBO,Migori,,
Ntimaru Sub-District Hospital,Sub-District Hospital,MoH,Migori,-1.3314,34.6861
Othoro Sub District Hospital,Sub-District Hospital,MoH,Migori,-0.8907445,34.3845221
Rongo District Hospital,District Hospital,MoH,Migori,-0.7579,34.6031
St Camillus Mission Hospital,Mission Hospital,FBO,Migori,-0.8397793,34.1583639
St Joseph Mission Hospital,Mission Hospital,FBO,Migori,-1.0708,34.4747
Bomu Medical Hospital Changamwe,Hospital,NGO,Mombasa,-4.0277041,39.616919
Coast Province General Hospital,Provincial General Hospital,MoH,Mombasa,-4.02796,39.68619
Likoni District Hospital,District Hospital,MoH,Mombasa,-4.0852,39.6555
Mewa Hospital,Mission Hospital,FBO,Mombasa,-4.05305,39.66154
Port Reitz District Hospital,District Hospital,MoH,Mombasa,-4.0393,39.6029
Sayyida Fatimah Hospital,Mission Hospital,FBO,Mombasa,-4.02832,39.68701
Tudor District Hospital,District Hospital,MoH,Mombasa,-4.03993,39.664
Gaichanjiru Hospital,Mission Hospital,FBO,Murang'a,-0.8846283,37.0514238
Githumu Hospital,Mission Hospital,FBO,Murang'a,-0.8267,36.9135
Kandara Sub County Hospital,Sub-District Hospital,MoH,Murang'a,-0.9009223,37.0022616
Kangema Sub-District Hospital,Sub-District Hospital,MoH,Murang'a,-0.6871,36.9707
Kigumo Sub County Hospital,Sub-District Hospital,MoH,Murang'a,-0.8041,36.9614
Kiria-Ini Mission Hospital,Mission Hospital,FBO,Murang'a,-0.6025,36.953
Kirwara Sub District Hospital,Sub-District Hospital,MoH,Murang'a,-0.92936,36.94314
Maragua District Hospital,District Hospital,MoH,Murang'a,-0.7869,37.1266
Murang'a District Hospital,District Hospital,MoH,Murang'a,-0.7159,37.1599
Muriranjas Sub-District Hospital,Sub-District Hospital,MoH,Murang'a,-0.7432,36.9731
Coptic Hospital,Mission Hospital,FBO,Nairobi,-1.2979104,36.796976
Jamaa Mission Hospital,Mission Hospital,FBO,Nairobi,-1.2817,36.8732
Kayole II Sub-District Hospital,Sub-District Hospital,Local authority,Nairobi,-1.2665,36.9167
Kenyatta National Hospital,National Referral Hospital,MoH,Nairobi,-1.3009,36.8064
Mama Lucy Kibaki Hospital,Provincial General Hospital,MoH,Nairobi,-1.2739389,36.8984975
Mbagathi District Hospital,District Hospital,MoH,Nairobi,-1.3079,36.8022
Mukuru Provide International Hospital,Hospital,NGO,Nairobi,-1.3252,36.8972
Mutuini Sub-District Hospital,Sub-District Hospital,MoH,Nairobi,-1.289269,36.6963
Ruaraka Uhai Neema Hospital,Mission Hospital,FBO,Nairobi,-1.2274,36.883606
St Francis Community Hospital,Mission Hospital,FBO,Nairobi,-1.2253475,36.9154455
St Mac's Hospital,Hospital,CBO,Nairobi,-1.312,36.7979
St Mary's Mission Hospital,Mission Hospital,FBO,Nairobi,-1.3223,36.7744
Bahati District Hospital,District Hospital,MoH,Nakuru,-0.1674,36.1232
Elburgon Sub-District Hospital,Sub-District Hospital,MoH,Nakuru,-0.3033,35.8074
Gilgil Sub-District Hospital,Sub-District Hospital,MoH,Nakuru,-0.5034,36.3234
Kabazi Sub-District Hospital,Sub-District Hospital,MoH,Nakuru,-0.0763,36.1679
Molo District Hospital,District Hospital,MoH,Nakuru,-0.245,35.7405
Naivasha District Hospital,District Hospital,MoH,Nakuru,-0.7163,36.4375
Nakuru Provincial General Hospital,Provincial General Hospital,MoH,Nakuru,-0.2813,36.0732
Olenguruone Sub-District Hospital,Sub-District Hospital,MoH,Nakuru,-0.5885,35.685
Rhein Valley Hospital,Hospital,NGO,Nakuru,-0.36452,36.2409127
St Mary's Hospital,Mission Hospital,FBO,Nakuru,-0.4144976,36.2572
Subukia Sub-District Hospital,Sub-District Hospital,MoH,Nakuru,0.0055,36.2295
Chepterwai Sub-District Hospital,Sub-District Hospital,MoH,Nandi,0.5228,34.9361
Kapsabet District Hospital,District Hospital,MoH,Nandi,0.2032,35.0994
Kaptumo Sub-District Hospital,Sub-District Hospital,MoH,Nandi,0.073848,35.070797
Meteitei Sub-District Hospital,Sub-District Hospital,MoH,Nandi,0.0060401,35.3077133
Nandi Hills District Hospital,District Hospital,MoH,Nandi,0.1047,35.183
Lolgorian Sub District Hospital,Sub-District Hospital,MoH,Narok,-1.2341,34.7997
Narok District Hospital,District Hospital,MoH,Narok,-1.0914,35.8707
Ololulunga District Hospital,District Hospital,MoH,Narok,-1.0027,35.6647
St Joseph Hospital,Mission Hospital,FBO,Narok,-1.0043,34.8737
Transmara District Hospital,District Hospital,MoH,Narok,-1.0077,34.8818
Ekerenyo Sub-District Hospital,Sub-District Hospital,MoH,Nyamira,-0.5282,34.9878
Esani Sub-District Hospital,Sub-District Hospital,MoH,Nyamira,-0.6766,34.9529
Kijauri Sub District Hospital,Sub-District Hospital,MoH,Nyamira,-0.76318,35.01666
Manga District Hospital,District Hospital,MoH,Nyamira,-0.6132,34.8362
Masaba District Hospital,District Hospital,MoH,Nyamira,-0.7810136,34.948293
Nyamira District Hospital,District Hospital,MoH,Nyamira,-0.5624,34.9352
Nyamusi Sub-District Hospital,Sub-District Hospital,MoH,Nyamira,-0.4787,34.9825
NyangenaSub District Hospital,Sub-District Hospital,MoH,Nyamira,-0.6604058,34.7404795
Engineer District Hospital,District Hospital,MoH,Nyandarua,-0.607799,36.574149
North Kinangop Catholic Hospital,Mission Hospital,FBO,Nyandarua,-0.5550916,36.5526415
