name,ftype,tier,lat,lon
Yendi District Hospital,District Hospital,Tier3 provincial hospital,9.44604,-0.00402
Zabzugu Polyclinic,Polyclinic,Tier4 central hospital,9.29565,0.37705
Bawku Municipal Hospital,Municipal Hospital,Tier3 provincial hospital,11.06124,-0.23287
Bolgatanga Regional Hospital,Regional Hospital,Tier3 provincial hospital,10.80737,-0.8612
Bongo District Hospital,District Hospital,Tier3 provincial hospital,10.9145,-0.80727
Sandema District Hospital,District Hospital,Tier3 provincial hospital,10.73339,-1.28786
War Memorial District Hospital,District Hospital,Tier3 provincial hospital,10.88304,-1.08532
Zebilla  District Hospital,District Hospital,Tier3 provincial hospital,10.93621,-0.47351
Ahmadiya Mission Hospital,Hospital,Tier3 provincial hospital,10.1697,-2.54172
Lawra District Hospital,District Hospital,Tier3 provincial hospital,10.64207,-2.88789
Nadowli District Hospital,District Hospital,Tier3 provincial hospital,10.36238,-2.65785
Nandom Hospital,Hospital,Tier3 provincial hospital,10.83872,-2.7722
St. Joseph's District Hospital,District Hospital,Tier3 provincial hospital,10.53334,-2.69916
Tumu District Hospital,District Hospital,Tier3 provincial hospital,10.87758,-1.98649
Upper West Regional Hospital,Regional Hospital,Tier3 provincial hospital,10.05537,-2.49806
Adidome District Hospital,District Hospital,Tier3 provincial hospital,6.07347,0.49812
Aflao District Hospital,District Hospital,Tier3 provincial hospital,6.11762,1.18013
Akatsi District Hospital,District Hospital,Tier3 provincial hospital,6.13877,0.80901
Anfoega Catholic Hospital,Hospital,Tier3 provincial hospital,6.88049,0.27621
Battor Mission. Hospital,Hospital,Tier3 provincial hospital,6.0584,0.4037
Comboni Polyclinic,Polyclinic,Tier4 central hospital,6.00217,0.58532
Dodi Papase Mary Theresa Hospital,Hospital,Tier3 provincial hospital,7.74227,0.51028
Ho Municipal Hospital,Municipal Hospital,Tier3 provincial hospital,6.60926,0.46805
Ho Polyclinic,Polyclinic,Tier4 central hospital,6.60289,0.49271
Hohoe Government District Hospital,District Hospital,Tier3 provincial hospital,7.15849,0.47239
Jasikan District Hospital,District Hospital,Tier3 provincial hospital,7.4014,0.46464
Keta Government Municipal Hospital,Municipal Hospital,Tier3 provincial hospital,5.88784,0.98164
Kpando Margret Marquat District Hospital,District Hospital,Tier3 provincial hospital,6.99992,0.30312
Krachi District Hospital,District Hospital,Tier3 provincial hospital,7.79476,-0.05729
Nkwanta District Hospital,District Hospital,Tier3 provincial hospital,8.25756,0.50838
Peki Government District Hospital,District Hospital,Tier3 provincial hospital,6.5337,0.22594
Sacred Heart Hospital,Hospital,Tier3 provincial hospital,6.05465,0.867667
Sogakope District Hospital,District Hospital,Tier3 provincial hospital,6.00774,0.61563
St Anthony's Hospital,Hospital,Tier3 provincial hospital,6.24112,0.98911
St. Joseph's Hospital,Hospital,Tier3 provincial hospital,8.24792,0.52134
Volta Regional Hospital,Regional Hospital,Tier3 provincial hospital,6.60215,0.48421
Worawora Hospital,Hospital,Tier3 provincial hospital,7.514483,0.375783
Ahmadiyya Mission Hospital,Hospital,Tier3 provincial hospital,5.13012,-1.65779
Asankragwa Catholic Hospital,Hospital,Tier3 provincial hospital,5.80149,-2.43225
Axim Government District Hospital,District Hospital,Tier3 provincial hospital,4.86653,-2.23889
Bibiani Government District Hospital,District Hospital,Tier3 provincial hospital,6.45658,-2.32238
Divine Love Hospital,Hospital,Tier3 provincial hospital,6.455983,-2.31698
Dixcove District Hospital,District Hospital,Tier3 provincial hospital,4.79799,-1.94978
Effia Nkwanta Regional Hospital,Regional Hospital,Tier3 provincial hospital,4.92482,-1.74458
Eikwe Catholic Hospital,Hospital,Tier3 provincial hospital,4.96539,-2.46978
Enchi Government District Hospital,District Hospital,Tier3 provincial hospital,5.82974,-2.82118
Essikadu Polyclinic,Polyclinic,Tier4 central hospital,4.94575,-1.71459
Half Assini Government District Hospital,District Hospital,Tier3 provincial hospital,5.05314,-2.88944
Juaboso Government District Hospital,District Hospital,Tier3 provincial hospital,6.33418,-2.82972
Kwesimintsim Polyclinic,Polyclinic,Tier4 central hospital,4.9126,-1.78233
Nana Hima-Dekyi District Hospital,District Hospital,Tier3 provincial hospital,4.8002066020589,-1.94998741149902
Old Hospital,Hospital,Tier3 provincial hospital,4.89984,-1.756596
Prestea Government Hospital,Hospital,Tier3 provincial hospital,5.432497,-2.148463
Prestea Hospital,Hospital,Tier3 provincial hospital,5.42662,-2.13573
Sefwi Wiawso District Hospital,District Hospital,Tier3 provincial hospital,6.20632,-2.49419
St. Johns Of God Hospital,Hospital,Tier3 provincial hospital,6.39401,-2.65779
St. Martin de Porres Hospital,Hospital,Tier3 provincial hospital,4.965194,-2.470262
Takoradi Hospital,Hospital,Tier3 provincial hospital,4.8856,-1.75258
Tarkwa Municipal Hospital,Municipal Hospital,Tier3 provincial hospital,5.30567,-1.9863
