name,type,state,lat,lon
Oodlabari BPHC,CHC,WEST BENGAL,26.86451699992556,88.6259500002684
Mongalbari Rural Hospital,CHC,WEST BENGAL,26.87894999969523,88.80343299950965
Semariyawa,CHC,UTTARPRADESH,26.88338500047419,82.91229400015997
Parasrampur,CHC,UTTARPRADESH,26.897137999980725,82.34161000001505
Gaure,CHC,UTTARPRADESH,26.90796099945294,82.57254400013318
Kamalabari CHC,CHC,ASSAM,26.95449999965819,94.16949999948636
PARTAWAL,CHC,UTTARPRADESH,26.966757000747013,83.6117680001318
MANSHOORGANJ,CHC,UTTARPRADESH,26.97728199988554,83.40334500039778
SukhiaPokhri BPHC,CHC,WEST BENGAL,26.99976700029001,88.16820000036377
Takda Rural Hospital,CHC,WEST BENGAL,27.00006699942624,88.35715000049504
Maskanwa,CHC,UTTARPRADESH,27.003329999519227,82.35170300072855
CAMPIERGANJ,CHC,UTTARPRADESH,27.02339499941716,83.26781000026004
Bhanpur,CHC,UTTARPRADESH,27.028418000622796,82.65830500058301
Bongalmora CHC,CHC,ASSAM,27.05201700045477,93.95834999931571
Pedong Rural Hospital,CHC,WEST BENGAL,27.054437999417093,88.54241700048786
GHUGHALI,CHC,UTTARPRADESH,27.055491999974016,83.70471699968496
Rambi Rural Hospital,CHC,WEST BENGAL,27.0623669998028,88.43546699995196
Sadullanagar,CHC,UTTARPRADESH,27.10472099975017,82.38080299999116
Nakachari Model Hospital,CHC,ASSAM,27.10506999956522,95.2667399996839
CHC Deomali,CHC,ASSAM,27.11883999993734,95.28070999980626
DHANI,CHC,UTTARPRADESH,27.120409000736217,83.17334999936472
Farenda,CHC,UTTARPRADESH,27.12378300018367,83.28818300038644
MAHARAJGANJ,CHC,UTTARPRADESH,27.145310000089456,83.56133000082019
CHC SISWA,CHC,UTTARPRADESH,27.14662799970504,83.7665529993913
MAHARAJGANJ,CHC,UTTARPRADESH,27.147821999873187,83.5656879995547
Anaval,CHC,GUJARAT,20.8441279998914,73.26525000052204
Khejuri,CHC,UTTARPRADESH,25.96162799959795,84.0666099998498
Hariaya,CHC,UTTARPRADESH,26.240521999574742,83.29575200015452
Koilsa,CHC,UTTARPRADESH,26.26660700047117,83.02112299958918
Rajgarh CHC,CHC,ASSAM,27.18446699988006,95.11956699985024
CHC BRIJMANGANJ,CHC,UTTARPRADESH,27.193239999983994,83.20214499992711
Naharani CHC BPHC,CHC,ASSAM,27.256950000330075,95.23326700071986
Gaindas bujurg,CHC,UTTARPRADESH,27.26712999990632,82.42012300018888
CHC Bordumsa,CHC,ASSAM,27.310809999696627,95.52833999976008
Ghilamora CHC,CHC,ASSAM,27.31778299998783,94.4208169997766
